,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,reyes,40,BO,1531000800,66,-14.3,-67.34,84.2,2.71
1,bonavista,12,CA,1531002287,65,48.65,-53.11,57.73,19.93
2,oranjemund,0,ZA,1531002287,75,-28.55,16.43,65.92,16.02
3,illoqqortoormiut,,,,,,,,
4,chokurdakh,8,RU,1531002287,86,70.62,147.9,45.4,15.68
5,yellowknife,75,CA,1531000800,50,62.45,-114.38,57.2,19.46
6,barrow,92,AR,1531002287,96,-38.31,-60.23,45.94,7.4
7,solnechnyy,80,RU,1531002288,88,50.72,136.64,62.14,2.71
8,rikitea,8,PF,1531002288,100,-23.12,-134.97,74.29,12.1
9,codrington,0,AU,1531002288,50,-28.95,153.24,46.12,5.84
10,kabalo,0,CD,1531001998,46,-6.05,26.92,74.56,11.21
11,punta arenas,0,CL,1530997200,100,-53.16,-70.91,35.6,10.29
12,vestmannaeyjar,92,IS,1531002289,100,63.44,-20.27,48.64,9.64
13,taolanaro,,,,,,,,
14,esperance,20,TT,1531000800,62,10.24,-61.45,84.2,11.41
15,cape town,0,ZA,1531000800,87,-33.93,18.42,46.4,3.36
16,srednekolymsk,20,RU,1531002289,62,67.46,153.71,65.47,6.62
17,hobart,40,AU,1531000800,80,-42.88,147.33,41,19.46
18,tomatlan,8,MX,1531002289,85,19.93,-105.25,82.48,3.27
19,hovd,0,NO,1531000200,81,63.83,10.7,50,3.36
20,lorengau,48,PG,1531002290,100,-2.02,147.27,81.31,14.9
21,bethel,90,US,1531000380,87,60.79,-161.76,59,9.17
22,mys shmidta,,,,,,,,
23,mataura,24,NZ,1531002290,79,-46.19,168.86,39.91,5.61
24,saint george,40,GR,1531000200,94,39.45,22.34,69.8,1.59
25,antofagasta,75,CL,1530997200,76,-23.65,-70.4,57.2,8.05
26,lata,56,IN,1531002291,100,30.78,78.62,61.51,1.81
27,qasigiannguit,75,GL,1531000200,56,68.82,-51.19,44.6,14.99
28,portland,20,US,1531000560,36,45.52,-122.67,78.8,10.29
29,huarmey,0,PE,1531002292,67,-10.07,-78.15,69.34,3.49
30,acarau,,,,,,,,
31,faanui,0,PF,1531002292,100,-16.48,-151.75,79.96,11.21
32,moindou,75,NC,1531000800,72,-21.69,165.68,68,2.24
33,lixourion,0,GR,1531000200,83,38.2,20.43,73.4,20.8
34,attawapiskat,,,,,,,,
35,port alfred,0,ZA,1531002293,98,-33.59,26.89,59.44,7.4
36,kurilsk,92,RU,1531002293,100,45.23,147.88,47.56,10.76
37,ponta do sol,0,BR,1531002293,50,-20.63,-46,67.9,4.5
38,iskateley,24,RU,1531002293,74,67.68,53.15,47.2,20.27
39,nguiu,,,,,,,,
40,jerantut,92,MY,1531002294,97,3.94,102.37,72.31,1.92
41,harper,40,US,1531000500,61,30.3,-99.24,89.6,10.29
42,vinderup,8,DK,1531000200,87,56.48,8.79,53.6,5.82
43,butaritari,32,KI,1531002294,100,3.07,172.79,81.85,10.87
44,bac lieu,,,,,,,,
45,new norfolk,40,AU,1531000800,80,-42.78,147.06,41,19.46
46,pinotepa nacional,,,,,,,,
47,diffa,68,NE,1531002295,61,13.32,12.61,83.74,4.94
48,norman wells,90,CA,1531000800,67,65.28,-126.83,57.2,6.93
49,busselton,0,AU,1531002295,100,-33.64,115.35,53.41,15.23
50,altay,0,CN,1531002296,51,47.83,88.13,47.56,4.83
51,severo-kurilsk,20,RU,1531002296,96,50.68,156.12,47.11,4.38
52,sann,0,PK,1530997200,55,26.04,68.14,89.6,11.41
53,hermanus,0,ZA,1531002296,72,-34.42,19.24,41.44,2.71
54,wattegama,92,LK,1531002296,99,7.35,80.68,68.98,5.5
55,hilo,40,US,1531001700,74,19.71,-155.08,82.4,11.41
56,yumen,0,CN,1531002297,51,40.29,97.04,59.08,11.54
57,vaitupu,,,,,,,,
58,clyde river,20,CA,1531000800,66,70.47,-68.59,48.2,10.29
59,lolua,,,,,,,,
60,ushuaia,40,AR,1530997200,74,-54.81,-68.31,35.6,6.93
61,hailar,88,CN,1531002103,100,49.2,119.7,62.14,9.19
62,qaanaaq,76,GL,1531002298,95,77.48,-69.36,32.8,4.16
63,kapaa,90,US,1531000800,83,22.08,-159.32,86,19.46
64,belushya guba,,,,,,,,
65,pangkalanbuun,68,ID,1531002298,92,-2.68,111.62,74.83,3.94
66,akdepe,0,TM,1530999000,39,42.05,59.39,86,2.24
67,kenai,20,US,1531000560,87,60.55,-151.26,69.8,14.99
68,toliary,,,,,,,,
69,kungurtug,0,RU,1531002302,86,50.6,97.53,26.95,2.37
70,brewster,1,US,1531001700,49,41.76,-70.08,73.4,5.82
71,port lincoln,76,AU,1531002303,92,-34.72,135.86,56.92,12.44
72,port elizabeth,1,US,1531000560,44,39.31,-74.98,78.8,12.75
73,kamenskoye,,,,,,,,
74,upernavik,20,GL,1531002304,100,72.79,-56.15,34.96,13
75,bassano,0,CA,1531002304,51,50.79,-112.47,76.9,8.97
76,saskylakh,88,RU,1531002304,89,71.97,114.09,39.64,9.86
77,dingle,36,PH,1531002304,87,11,122.67,77.53,6.17
78,totness,75,US,1531000560,74,33.74,-80.8,84.2,16.11
79,nigde,0,TR,1531002304,74,37.97,34.68,50.71,1.36
80,puerto ayora,90,EC,1531000800,61,-0.74,-90.35,78.8,13.87
81,labuhan,20,ID,1531002305,98,-2.54,115.51,70.96,2.15
82,bull savanna,0,JM,1531002305,45,17.89,-77.59,88.96,9.31
83,hasaki,75,JP,1530999000,94,35.73,140.83,78.8,6.93
84,vaini,92,IN,1531002305,99,15.34,74.49,67.81,4.27
85,samusu,,,,,,,,
86,tateyama,75,JP,1530997800,100,36.66,137.31,69.8,1.12
87,beringovskiy,92,RU,1531002306,100,63.05,179.32,48.64,12.44
88,sao joao da barra,0,BR,1531000800,83,-21.64,-41.05,71.6,6.93
89,poum,20,MK,1530997200,82,41.28,20.71,60.8,2.24
90,east london,0,ZA,1531002307,100,-33.02,27.91,66.46,14.12
91,necochea,92,AR,1531002307,97,-38.55,-58.74,47.2,9.31
92,abha,5,SA,1531000800,60,18.22,42.5,71.6,9.17
93,lebu,56,ET,1531002307,95,8.96,38.73,50.8,2.93
94,whitley bay,40,GB,1531000200,63,55.04,-1.44,66.2,4.7
95,kaiyuan,92,CN,1531002308,86,42.54,124.04,66.64,12.66
96,santa maria,90,BR,1530997200,88,-29.69,-53.81,64.4,11.41
97,port blair,80,IN,1531002309,100,11.67,92.75,80.5,20.94
98,labutta,,,,,,,,
99,leningradskiy,100,RU,1531002309,96,69.38,178.42,33.52,11.43
100,kamina,0,CD,1531002310,57,-8.74,25,63.13,7.74
101,arraial do cabo,0,BR,1531000800,88,-22.97,-42.02,73.4,11.41
102,golden,75,CA,1531000800,43,51.3,-116.96,69.8,4.7
103,jamestown,68,AU,1531002311,94,-33.21,138.6,46.66,11.99
104,nanortalik,80,GL,1531002311,94,60.14,-45.24,37.48,33.91
105,motygino,12,RU,1531002311,93,58.18,94.69,43.51,2.37
106,mizdah,0,LY,1531002311,27,31.45,12.98,84.82,9.08
107,anloga,20,GH,1531000800,94,5.79,0.9,77,8.05
108,torres,48,BR,1531002312,92,-29.34,-49.73,64.12,1.7
109,araguacu,,,,,,,,
110,mahanoro,76,MG,1531002313,100,-19.9,48.8,64.66,2.37
111,coahuayana,20,MX,1531002313,46,18.62,-100.35,86.53,2.93
112,georgetown,75,GY,1530997200,83,6.8,-58.16,80.6,6.93
113,westport,76,IE,1531002313,87,53.8,-9.52,62.86,9.42
114,tahoua,24,NE,1531002313,50,14.89,5.26,82.57,8.75
115,havoysund,92,NO,1531000200,87,71,24.66,48.2,1.12
116,constitucion,90,MX,1531000140,33,23.99,-104.67,77,10.29
117,rodas,36,CU,1531000740,88,22.34,-80.56,84.2,8.05
118,tulun,44,RU,1531002314,95,54.56,100.58,47.11,4.5
119,iqaluit,20,CA,1531000800,41,63.75,-68.52,57.2,11.41
120,qurayyat,,,,,,,,
121,rocha,92,UY,1531002318,98,-34.48,-54.34,53.86,13.56
122,akyab,,,,,,,,
123,grand river south east,,,,,,,,
124,malwan,,,,,,,,
125,inhambane,88,MZ,1531002319,95,-23.87,35.38,69.7,12.33
126,lasa,20,CY,1531000200,88,34.92,32.53,78.8,4.7
127,kolondieba,8,ML,1531002319,90,11.09,-6.89,75.28,3.94
128,pueblo,1,US,1531000440,18,38.25,-104.61,98.6,6.93
129,mahebourg,75,MU,1531000800,88,-20.41,57.7,69.8,8.05
130,cabo san lucas,5,MX,1531000020,62,22.89,-109.91,89.6,3.36
131,fortuna,0,ES,1531000800,73,38.18,-1.13,77,4.7
132,karagay,76,RU,1531002320,88,58.27,54.93,63.13,2.59
133,gboko,48,NG,1531002321,91,7.32,9,75.82,6.85
134,bathsheba,75,BB,1531000800,78,13.22,-59.52,80.6,16.11
135,lethem,68,GY,1531002321,80,3.38,-59.8,79.96,9.19
136,sola,0,NO,1531000200,81,58.89,5.65,53.6,11.41
137,burnie,24,AU,1531002322,100,-41.05,145.91,51.79,31.56
138,yaan,68,NG,1531002322,92,7.38,8.57,76,3.94
139,whitecourt,75,CA,1531000800,59,54.14,-115.68,62.6,23.04
140,torbay,20,CA,1531000800,59,47.66,-52.73,60.8,18.34
141,barentsburg,,,,,,,,
142,castro,0,CL,1531002323,88,-42.48,-73.76,49.81,2.37
143,juba,12,EE,1531000200,77,57.82,26.93,64.4,5.82
144,nome,90,US,1531000500,94,30.04,-94.42,78.8,5.82
145,straumen,0,NO,1531000200,81,63.87,11.3,50,3.36
146,lompoc,20,US,1531000680,56,34.64,-120.46,93.2,14.99
147,lavrentiya,44,RU,1531002324,100,65.58,-170.99,43.51,3.71
148,fairbanks,1,US,1531000680,40,64.84,-147.72,73.4,3.36
149,atuona,0,PF,1531002324,100,-9.8,-139.03,80.05,21.5
150,ancud,0,CL,1531002324,88,-41.87,-73.83,50.98,2.59
151,sawtell,0,AU,1530999000,87,-30.38,153.1,42.8,3.36
152,changqing,90,CN,1530997200,100,31.81,117.24,77,8.95
153,tumannyy,,,,,,,,
154,broken hill,0,AU,1531002325,94,-31.97,141.45,39.46,9.75
155,xinqing,48,CN,1531002325,76,48.28,129.53,56.56,3.94
156,sorland,88,NO,1531002325,97,67.67,12.69,51.16,15.35
157,tuktoyaktuk,75,CA,1531000800,76,69.44,-133.03,55.4,19.46
158,wa,,,,,,,,
159,thompson,40,CA,1531000800,42,55.74,-97.86,82.4,17.22
160,kefamenanu,0,ID,1531002326,96,-9.45,124.48,59.17,2.48
161,ilulissat,75,GL,1531000200,56,69.22,-51.1,44.6,14.99
162,maniitsoq,68,GL,1531002327,87,65.42,-52.9,39.1,1.59
163,college,1,US,1531000680,40,64.86,-147.8,73.4,3.36
164,nemuro,92,JP,1531002327,97,43.32,145.57,55.3,13
165,minas,90,UY,1530997200,93,-34.38,-55.24,55.4,13.87
166,arlit,0,NE,1531002328,22,18.74,7.39,79.06,2.59
167,cidreira,100,BR,1531002328,96,-30.17,-50.22,64.66,15.79
168,te anau,0,NZ,1531002328,80,-45.41,167.72,41.71,9.86
169,sentyabrskiy,,,,,,,,
170,vilyuysk,76,RU,1531002328,100,63.75,121.63,66.73,3.15
171,caravelas,0,BR,1531002329,100,-17.73,-39.27,76.36,8.63
172,kaeo,76,NZ,1531002329,91,-35.1,173.78,58.18,19.26
173,san cristobal,40,EC,1531000800,62,-0.39,-78.55,59,23.04
174,kruisfontein,0,ZA,1531002329,89,-34,24.73,55.66,4.38
175,san isidro,92,PH,1531002331,91,16.74,121.63,74.56,3.49
176,ribeira grande,92,PT,1531002332,100,38.52,-28.7,67.27,9.08
177,lujiang,90,CN,1530997200,100,31.26,117.28,77,8.95
178,sumkino,0,RU,1531002334,78,58.11,68.32,66.1,6.29
179,ixtapa,75,MX,1531000080,75,20.71,-105.21,89.6,9.17
180,kidal,56,ML,1531002335,21,18.44,1.41,84.28,4.61
181,adrar,12,DZ,1531000800,8,27.87,-0.29,98.6,7.96
182,udachnyy,92,RU,1531002335,89,66.42,112.4,41.35,4.72
183,kodiak,1,US,1531000380,42,39.95,-94.76,86,6.93
184,lazaro cardenas,40,MX,1530999660,33,28.39,-105.62,86,6.93
185,fernie,75,CA,1531000800,35,49.5,-115.06,71.6,11.41
186,catamarca,,,,,,,,
187,dali,100,CN,1531002336,100,25.6,100.24,61.06,1.59
188,molochnyy,0,RU,1530999000,81,68.85,33.02,48.2,4.47
189,longyearbyen,75,NO,1531000200,66,78.22,15.63,50,8.05
190,itabuna,88,BR,1531002266,100,-14.79,-39.28,73.93,7.74
191,dikson,32,RU,1531002337,94,73.51,80.55,40.45,18.14
192,mechernich,0,DE,1531000560,55,50.59,6.65,66.2,5.82
193,avarua,90,CK,1531000800,64,-21.21,-159.78,71.6,8.05
194,kant,24,KG,1531002337,60,42.89,74.85,55.66,2.71
195,sitka,8,US,1531002337,53,37.17,-99.65,90.85,9.98
196,husavik,24,CA,1531002338,64,50.56,-96.99,89.14,18.03
197,albany,20,US,1531000440,34,42.65,-73.75,80.6,4.7
198,camacha,75,PT,1531000800,83,33.08,-16.33,69.8,9.17
199,suileng,100,CN,1531002338,99,47.25,127.08,61.06,14
200,bluff,0,AU,1531002339,58,-23.58,149.07,47.56,12.66
201,polunochnoye,92,RU,1531002339,76,60.87,60.43,69.16,3.38
202,grindavik,40,IS,1530999000,81,63.84,-22.43,50,14.99
203,plouzane,0,FR,1531000800,77,48.38,-4.62,71.6,6.93
204,shimoda,92,JP,1531002339,99,34.7,138.93,73.84,3.49
205,mount isa,0,AU,1531000800,46,-20.73,139.49,53.6,16.11
206,gat,64,SN,1531002340,72,14.69,-16.54,81.58,8.63
207,newton,1,US,1531001700,54,41.7,-93.05,82.4,8.05
208,porbandar,80,IN,1531002341,88,21.64,69.61,82.84,14.67
209,nikolskoye,75,RU,1530999000,87,59.7,30.79,60.8,4.47
210,marzuq,24,YE,1531002341,61,14.4,46.47,70.96,3.27
211,ouidah,20,BJ,1531002341,95,6.37,2.09,75.91,5.17
212,kaitangata,8,NZ,1531002342,73,-46.28,169.85,38.74,8.3
213,verkhnyaya inta,48,RU,1531002342,83,65.99,60.32,65.02,1.7
214,port-de-paix,,,,,,,,
215,geraldton,75,CA,1531000800,50,49.72,-86.95,77,24.16
216,bambous virieux,75,MU,1531000800,88,-20.34,57.76,69.8,8.05
217,kaduqli,0,SD,1531002342,83,11.01,29.72,72.4,2.59
218,northam,0,GB,1531000200,68,51.04,-4.21,68,6.93
219,coquimbo,0,CL,1530997200,77,-29.95,-71.34,60.8,10.29
220,cururupu,88,BR,1531002343,100,-1.82,-44.87,75.46,5.61
221,san francisco del mar,48,MX,1531002343,92,16.34,-94.51,83.65,22.84
222,kuche,,,,,,,,
223,jacobina,0,BR,1531002344,75,-11.19,-40.51,68.08,7.63
224,skalistyy,,,,,,,,
225,nizhneyansk,,,,,,,,
226,moroto,24,UG,1531002344,89,2.53,34.66,55.21,2.59
227,tuatapere,44,NZ,1531002344,96,-46.13,167.69,49,15.12
228,netanya,0,IL,1531000200,78,32.33,34.86,77,4.7
229,port moresby,40,PG,1530997200,94,-9.47,147.16,77,19.46
230,karaul,,,,,,,,
231,najran,5,SA,1531000800,18,17.54,44.22,84.2,6.93
232,bourail,80,NC,1531002346,93,-21.57,165.5,66.1,4.38
233,mocuba,92,MZ,1531002346,95,-16.84,36.99,67.9,5.61
234,kholm-zhirkovskiy,88,RU,1531002348,98,55.52,33.47,58.81,8.3
235,aguililla,12,MX,1531002350,68,18.74,-102.79,79.96,1.59
236,amapa,75,HN,1531000800,70,15.09,-87.97,87.8,16.11
237,laguna,40,MX,1530999600,29,27.52,-110.01,100.4,10.29
238,sorong,76,ID,1531002351,100,-0.86,131.25,78.16,3.83
239,karlskoga,0,SE,1531000200,87,59.33,14.52,59,3.36
240,tukrah,,,,,,,,
241,casper,1,US,1531000380,11,42.87,-106.31,98.6,12.75
242,qiongshan,0,CN,1530997200,94,20.01,110.35,77,4.47
243,kavieng,56,PG,1531002352,100,-2.57,150.8,82.75,7.96
244,carnarvon,0,ZA,1531002352,66,-30.97,22.13,30.73,6.62
245,maldonado,90,UY,1530997200,93,-34.91,-54.96,55.4,13.87
246,carson city,1,US,1531000500,12,39.16,-119.77,93.2,14.99
247,cherskiy,8,RU,1531002353,49,68.75,161.3,51.7,9.42
248,cockburn town,12,TC,1531002353,96,21.46,-71.14,83.11,18.25
249,bonfim,68,GY,1531002353,80,3.36,-59.84,79.96,9.19
250,khatanga,68,RU,1531002353,69,71.98,102.47,49.18,8.19
251,saint-philippe,75,CA,1531000800,34,45.36,-73.48,82.4,11.41
252,solsona,75,PH,1530997200,100,18.1,120.77,75.2,3.71
253,namtsy,0,RU,1531002354,45,62.72,129.66,71.23,4.27
254,havelock,90,US,1531000440,83,34.88,-76.9,80.6,18.34
255,botou,64,CN,1531002354,72,38.08,116.55,79.6,11.32
256,qaqortoq,90,GL,1531000200,95,60.72,-46.03,53.6,13.87
257,taltal,68,CL,1531002354,74,-25.41,-70.49,64.21,2.37
258,tshane,8,BW,1531002355,86,-24.02,21.87,45.67,6.62
259,olafsvik,,,,,,,,
260,katsuura,75,JP,1530999480,100,33.93,134.5,75.2,12.75
261,nam tha,,,,,,,,
262,korla,,,,,,,,
263,korcula,20,HR,1531000800,50,42.96,17.14,75.2,11.41
264,clinton,1,US,1531001700,42,41.84,-90.19,82.4,6.85
265,itanhem,12,BR,1531002356,68,-17.17,-40.33,72.04,7.4
266,cayenne,0,GF,1531000800,100,4.94,-52.33,77,9.19
267,mayumba,24,GA,1531002356,98,-3.44,10.65,71.32,5.84
268,san pedro,80,AR,1531002358,97,-33.68,-59.66,53.68,13.22
269,maragogi,88,BR,1531002358,91,-9.01,-35.22,74.65,8.97
270,kaspiysk,88,RU,1530999000,57,42.88,47.64,78.8,8.95
271,samarai,92,PG,1531002358,100,-10.62,150.67,76.36,15.68
272,umm lajj,0,SA,1531002359,89,25.02,37.27,78.16,3.27
273,denpasar,40,ID,1530999000,78,-8.65,115.22,78.8,10.29
274,black forest,75,AU,1531000800,76,-34.96,138.58,55.4,14.99
275,bintulu,75,MY,1531000800,100,3.17,113.03,75.2,4.7
276,puerto carreno,40,CO,1531000800,83,6.19,-67.49,80.6,3.36
277,pangnirtung,0,CA,1531002360,94,66.15,-65.72,37.03,4.05
278,tsienyane,,,,,,,,
279,alofi,48,NU,1531002360,100,-19.06,-169.92,73.3,22.17
280,tasbuget,,,,,,,,
281,bredasdorp,0,ZA,1531000800,80,-34.53,20.04,41,1.12
282,hithadhoo,88,MV,1531002360,100,-0.6,73.08,76.81,6.62
283,labuan,90,BN,1531000800,94,5.28,115.24,78.8,2.24
284,salalah,90,OM,1531000200,88,17.01,54.1,80.6,6.93
285,louisbourg,,,,,,,,
286,sistranda,0,NO,1531000200,87,63.73,8.83,50,2.24
287,port jervis,1,US,1531000560,31,41.38,-74.69,78.8,3.36
288,san vicente,0,SV,1531000200,58,13.64,-88.78,87.8,2.24
289,ouadda,48,CF,1531002367,95,8.07,22.4,69.16,3.6
290,bondo,20,CD,1531002368,93,3.81,23.69,71.68,2.15
291,bengkulu,,,,,,,,
292,luanda,40,AO,1530997200,88,-8.83,13.24,73.4,9.17
293,ilhabela,8,BR,1531002365,97,-23.78,-45.36,71.86,11.21
294,cravo norte,20,CO,1531002368,80,6.3,-70.2,85.36,4.61
295,los llanos de aridane,0,ES,1531000800,68,28.66,-17.92,71.6,14.99
296,upata,56,VE,1531002368,95,8.02,-62.41,76.99,4.72
297,paamiut,92,GL,1531002369,94,61.99,-49.67,40.36,2.37
298,jacareacanga,0,BR,1531002369,58,-6.22,-57.76,88.24,1.81
299,namibe,0,AO,1531002369,100,-15.19,12.15,70.06,5.39
300,biak,68,ID,1531002369,100,-0.91,122.88,74.2,5.95
301,victoria,90,BN,1531000800,94,5.28,115.24,78.8,2.24
302,mehamn,92,NO,1531002370,90,71.03,27.85,47.29,3.6
303,lazo,36,MD,1531002370,81,47.89,27.93,65.83,7.07
304,lure,8,FR,1531000800,82,47.69,6.5,62.6,2.24
305,marcona,,,,,,,,
306,isangel,90,VU,1531000800,78,-19.55,169.27,75.2,4.7
307,yerofey pavlovich,36,RU,1531002371,74,53.97,121.97,61.87,7.96
308,calvinia,0,ZA,1531002371,72,-31.47,19.78,35.41,5.06
309,ketchikan,90,US,1531000560,63,55.34,-131.65,64.4,11.41
310,muros,20,ES,1531000800,88,42.77,-9.06,66.2,8.05
311,formoso do araguaia,,,,,,,,
312,zhigansk,8,RU,1531002372,92,66.77,123.37,65.02,3.15
313,saint-denis,0,FR,1531000800,53,48.94,2.36,77,4.7
314,chuy,92,UY,1531002372,97,-33.69,-53.46,56.56,17.02
315,yerbogachen,80,RU,1531002373,82,61.28,108.01,50.89,5.28
