,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
316,mar del plata,0,AR,1531002315,100,-46.43,-67.52,33.97,4.72
317,aklavik,5,CA,1531000800,56,68.22,-135.01,71.6,4.7
318,kothen,0,DE,1531002373,58,50.37,9.77,62.86,4.94
319,sampit,0,ID,1531002374,92,-2.54,112.95,74.74,5.73
320,naftah,,,,,,,,
321,caledonia,1,US,1531000500,33,42.81,-87.92,78.8,10.29
322,amderma,,,,,,,,
323,andevoranto,,,,,,,,
324,shanhetun,92,CN,1531002374,97,44.7,127.2,66.1,10.2
325,bonthe,92,SL,1531002375,100,7.53,-12.5,74.65,3.15
326,havre-saint-pierre,75,CA,1531001640,82,50.23,-63.6,57.2,8.05
327,ugoofaaru,88,MV,1531002376,100,5.67,73,80.5,15.79
328,baruun-urt,92,MN,1531002376,100,46.68,113.28,54.85,10.42
329,sechura,0,PE,1531002376,82,-5.56,-80.82,72.58,10.76
330,baker city,1,US,1531000560,28,44.77,-117.83,84.2,9.17
331,marathopolis,,,,,,,,
332,asfi,,,,,,,,
333,bireun,44,ID,1531002377,100,5.2,96.7,79.33,1.25
334,awjilah,0,LY,1531002377,27,29.14,21.3,87.34,17.69
335,port keats,0,AU,1531002377,60,-14.25,129.55,66.73,17.92
336,gunjur,75,GM,1531000800,83,13.18,-16.76,78.8,2.24
337,gwadar,36,PK,1531002378,100,25.12,62.33,83.65,7.85
338,vilhena,0,BR,1531000800,50,-12.74,-60.15,77,3.36
339,san patricio,76,PY,1531002378,81,-26.98,-56.83,63.4,5.17
340,birobidzhan,0,RU,1531002378,87,48.79,132.93,61.69,3.49
341,mexico,1,US,1531000320,38,44.56,-70.55,78.8,4.7
342,vardo,1,US,1531000500,29,39.62,-77.74,80.6,4.7
343,grand centre,,,,,,,,
344,taft,44,PH,1531002382,100,11.9,125.42,78.79,3.6
345,narsaq,90,GL,1531000200,88,60.91,-46.05,53.6,13.87
346,sisimiut,68,GL,1531002383,77,66.94,-53.67,45.31,1.7
347,san lawrenz,0,MT,1530999900,83,36.06,14.2,73.4,12.75
348,airai,0,TL,1531002383,86,-8.93,125.41,57.28,1.92
349,tsihombe,,,,,,,,
350,kloulklubed,90,PW,1531000380,94,7.04,134.26,80.6,6.93
351,shingu,92,JP,1531002384,100,33.72,135.99,73.93,1.59
352,chico,40,US,1531000440,8,39.73,-121.84,98.6,9.17
353,yangjiang,48,CN,1531002384,100,21.85,111.96,84.73,7.52
354,gazanjyk,0,TM,1531002384,49,39.24,55.52,81.13,5.95
355,cam ranh,56,VN,1531002384,94,11.92,109.15,79.24,3.71
356,champerico,75,MX,1531000260,61,16.38,-93.6,82.4,11.41
357,vila velha,75,BR,1531000800,94,-3.71,-38.6,75.2,5.82
358,songjianghe,92,CN,1531002385,96,42.18,127.48,61.69,3.71
359,ribas do rio pardo,8,BR,1531002385,29,-20.45,-53.76,82.48,5.39
360,namatanai,76,PG,1531002385,100,-3.66,152.44,81.04,5.5
361,ramsgate,0,AU,1531000800,46,-33.98,151.14,53.6,10.29
362,beloha,0,MG,1531002386,90,-25.17,45.06,64.48,14.12
363,yomitan,,,,,,,,
364,kosugi,75,JP,1530997800,100,36.71,137.1,69.8,1.12
365,comodoro rivadavia,0,AR,1530997200,87,-45.87,-67.48,44.6,2.24
366,north bend,1,US,1531000560,56,43.41,-124.22,68,16.11
367,gamba,68,CN,1531002387,99,28.28,88.52,32.8,2.26
368,lahaina,90,US,1531001700,88,20.87,-156.68,78.8,13.87
369,waingapu,8,ID,1531002387,95,-9.65,120.26,68.44,10.31
370,energetik,92,RU,1531002387,53,51.74,58.8,77.08,6.4
371,asau,,,,,,,,
372,vysokogornyy,36,RU,1531002388,79,50.1,139.13,57.46,3.04
373,juneau,90,US,1531000560,72,58.3,-134.42,60.8,12.75
374,ust-nera,0,RU,1531002388,47,64.57,143.24,69.97,1.59
375,provideniya,88,RU,1531002388,100,64.42,-173.23,44.41,11.43
376,avera,1,US,1531000500,66,33.19,-82.53,89.6,8.05
377,falealupo,,,,,,,,
378,preobrazheniye,48,RU,1531002389,91,42.9,133.91,45.67,1.81
379,hihifo,,,,,,,,
380,brokopondo,20,SR,1530997200,55,5.06,-54.98,89.6,4.7
381,itarema,48,BR,1531002389,77,-2.92,-39.92,79.33,8.41
382,bollnas,0,SE,1531002389,48,61.35,16.39,60.7,7.07
383,masjed-e soleyman,,,,,,,,
384,chaoyang,92,CN,1531002390,98,41.58,120.44,69.34,8.19
385,sorvag,,,,,,,,
386,mafinga,,,,,,,,
387,formosa,90,AR,1530997200,82,-26.19,-58.17,60.8,11.41
388,mumford,12,GH,1531002390,92,5.26,-0.76,74.74,7.07
389,madison heights,1,US,1531001820,27,42.49,-83.11,82.4,5.82
390,hazorasp,0,UZ,1530999000,47,41.32,61.08,80.6,4.7
391,hami,0,CN,1531002391,42,42.84,93.51,64.57,5.39
392,bandarbeyla,20,SO,1531002391,73,9.49,50.81,80.95,26.64
393,san policarpo,44,PH,1531002391,100,12.18,125.51,78.79,3.6
394,lakes entrance,92,AU,1531002391,85,-37.88,147.99,52.96,22.84
395,naryan-mar,20,RU,1531002392,80,67.67,53.09,44.86,21.72
396,saint-joseph,0,FR,1531000800,73,43.56,6.97,75.2,3.36
397,tiznit,0,MA,1531002392,86,29.7,-9.73,72.58,3.71
398,sobolevo,48,RU,1531002392,95,54.43,31.9,60.88,12.21
399,richards bay,0,ZA,1531002393,95,-28.77,32.06,53.32,3.04
400,karratha,0,AU,1531002393,44,-20.74,116.85,49.9,11.77
401,aykhal,92,RU,1531002393,89,65.95,111.51,40.81,8.19
402,manokwari,92,ID,1531002393,100,-0.87,134.08,79.24,1.7
403,adre,56,TD,1531002393,79,13.47,22.2,73.84,5.95
404,pevek,12,RU,1531002393,87,69.7,170.27,38.83,13.44
405,shu,0,KZ,1531002394,23,43.6,73.76,72.4,11.54
406,emerald,0,AU,1531002394,65,-23.53,148.16,46.48,12.33
407,henties bay,48,NA,1531002394,61,-22.12,14.28,68.53,9.42
408,shakawe,80,BW,1531002395,43,-18.36,21.84,63.58,7.18
409,belaya gora,68,RU,1531002398,77,68.54,146.19,63.04,10.2
410,kahului,90,US,1531001700,88,20.89,-156.47,78.8,13.87
411,umzimvubu,,,,,,,,
412,pochutla,75,MX,1530999900,62,15.74,-96.47,87.8,8.05
413,high level,75,CA,1531000800,76,58.52,-117.13,55.4,6.93
414,sur,0,OM,1531002399,81,22.57,59.53,88.96,8.08
415,yatou,75,CM,1531000800,100,3.63,9.81,77,1.12
416,ajdabiya,0,LY,1531002399,78,30.75,20.22,75.37,15.23
417,rudbar,,,,,,,,
418,stephenville,40,US,1531000500,30,32.22,-98.2,96.8,9.17
419,songea,5,TZ,1530997200,72,-10.68,35.65,62.6,11.41
420,general pico,44,AR,1531002400,65,-35.66,-63.75,50.26,10.54
421,rawannawi,,,,,,,,
422,monrovia,68,LR,1531002400,95,6.33,-10.8,75.01,4.38
423,praia da vitoria,40,PT,1531000800,83,38.73,-27.07,71.6,10.65
424,kamaishi,92,JP,1531002400,100,39.28,141.86,68.08,3.27
425,trelew,12,AR,1531002400,79,-43.25,-65.31,45.04,6.4
426,meyungs,,,,,,,,
427,choma,36,ZM,1531002401,94,-16.81,26.98,49.18,6.17
428,suntar,92,RU,1531002401,100,62.16,117.65,56.92,6.96
429,gorele,75,TR,1531000200,69,41.03,39,75.2,4.7
430,izvoarele,32,RO,1531002401,93,45.55,27.77,65.11,3.94
431,mount gambier,92,AU,1531002312,83,-37.83,140.78,53.14,11.1
432,dalsingh sarai,12,IN,1531002402,94,25.67,85.83,82.03,9.08
433,la tuque,48,CA,1531002402,52,47.44,-72.79,73.3,6.96
434,saleaula,,,,,,,,
435,alice town,0,BS,1531002402,100,25.72,-79.3,86.17,5.61
436,okato,92,NZ,1531002402,95,-39.19,173.88,58.18,32.79
437,mwinilunga,88,ZM,1531002402,61,-11.73,24.43,61.33,5.17
438,ngukurr,,,,,,,,
439,marsh harbour,12,BS,1531002403,100,26.54,-77.06,83.2,4.27
440,ambilobe,0,MG,1531002403,64,-13.19,49.05,72.58,13.78
441,gasa,92,BT,1531002403,99,27.91,89.73,38.11,0.81
442,flinders,0,AU,1530997200,57,-34.58,150.85,50,13.87
443,lagoa,0,PT,1531000800,54,37.14,-8.45,78.8,11.41
444,greenfield,20,US,1531000560,30,42.59,-72.6,80.6,9.17
445,pandharpur,92,IN,1531002405,92,17.68,75.33,72.49,10.65
446,shenjiamen,44,CN,1531002405,94,29.96,122.3,80.14,15.35
447,bella vista,44,AR,1531002405,82,-28.51,-59.05,56.47,11.99
448,lubao,90,PH,1530997200,88,14.94,120.6,80.6,4.7
449,hambantota,88,LK,1531002406,100,6.12,81.12,78.79,20.04
450,spokane,20,US,1531000680,19,47.66,-117.42,80.6,14.99
451,yanam,100,IN,1531002406,95,16.73,82.22,74.74,18.37
452,mossendjo,0,CG,1531002406,95,-2.95,12.72,69.61,1.92
453,playa del carmen,75,MX,1530999720,83,20.63,-87.08,84.2,8.05
454,palabuhanratu,,,,,,,,
455,tual,20,ID,1531002406,100,-5.67,132.75,79.33,18.7
456,ikalamavony,8,MG,1531002407,89,-21.17,46.6,51.25,6.17
457,vila franca do campo,20,PT,1531000800,77,37.72,-25.43,69.8,3.36
458,saurimo,0,AO,1531002407,69,-9.66,20.4,60.88,3.04
459,ramsar,90,IR,1530997200,83,36.92,50.64,82.4,4.7
460,alta floresta,0,BR,1530997200,35,-9.87,-56.08,87.8,2.24
461,mullaitivu,,,,,,,,
462,tasiilaq,75,GL,1531000200,81,65.61,-37.64,42.8,9.17
463,naze,88,NG,1531002408,97,5.43,7.07,73.21,5.17
464,la palma,20,CO,1531002408,56,5.36,-74.39,79.96,1.92
465,tiksi,92,RU,1531002409,96,71.64,128.87,43.24,4.16
466,kharp,92,RU,1531002409,75,66.82,65.8,62.95,14.79
467,syava,92,RU,1531002409,99,58.01,46.32,61.15,2.37
468,trairi,64,BR,1531002409,100,-3.28,-39.27,78.97,19.82
469,santa eulalia,44,GT,1531002410,71,15.73,-91.46,68.17,2.15
470,yulara,0,AU,1531000800,86,-25.24,130.99,39.2,8.05
471,ust-ishim,32,RU,1531002410,70,57.69,71.17,68.71,4.94
472,esso,56,RU,1531002410,91,55.93,158.7,38.74,2.26
473,kandrian,,,,,,,,
474,quatre cocos,75,MU,1531000800,88,-20.21,57.76,69.8,8.05
475,morant bay,20,JM,1531000800,59,17.88,-76.41,89.6,27.51
476,kargopol,68,RU,1531002415,91,61.51,38.95,59.44,5.5
477,valadares,0,BR,1531000800,63,-25.53,-48.5,64.4,8.05
478,mrirt,,,,,,,,
479,kathmandu,75,NP,1531000200,100,27.71,85.32,71.6,2.15
480,tezu,88,IN,1531002415,95,27.93,96.16,69.52,1.59
481,kachiry,68,KZ,1531002415,60,53.07,76.1,70.24,14.56
482,dicabisagan,92,PH,1531002416,100,17.08,122.42,78.52,6.17
483,hay river,75,CA,1531000800,58,60.82,-115.79,57.2,11.41
484,luderitz,0,NA,1531002416,57,-26.65,15.16,67.99,17.69
485,hachinohe,90,JP,1531000020,100,40.47,141.48,55.4,11.41
486,christchurch,100,NZ,1531000800,76,-43.53,172.64,50,13.87
487,rossland,40,CA,1531000800,29,49.08,-117.8,75.2,2.24
488,kovdor,88,RU,1531002417,55,67.56,30.47,60.25,5.95
489,velasco ibarra,24,EC,1531002417,77,-1.04,-79.64,83.38,4.61
490,nchelenge,20,ZM,1531002417,50,-9.35,28.74,68.8,6.73
491,saint andrews,20,NZ,1531002418,100,-44.53,171.19,30.64,4.94
492,tabou,100,CI,1531002418,100,4.42,-7.36,78.7,10.2
493,ayer itam,,,,,,,,
494,lodeynoye pole,92,RU,1531002418,99,60.73,33.55,57.64,3.94
495,santa cruz,1,US,1531000560,50,36.97,-122.03,87.8,8.05
496,kez,88,RU,1531002419,85,57.9,53.72,63.58,2.93
497,klaksvik,88,FO,1531000200,100,62.23,-6.59,51.8,3.36
498,gladstone,0,AU,1531002420,87,-23.84,151.26,50.98,14.34
499,kambove,0,CD,1531002420,67,-10.88,26.6,57.37,5.84
500,auki,56,NG,1531002420,93,12.18,6.51,75.01,3.38
501,peniche,20,PT,1531000800,93,39.36,-9.38,66.2,4.7
502,karlivka,24,UA,1531002421,55,49.46,35.11,68.44,6.96
503,ilheus,75,BR,1531000800,78,-14.79,-39.05,75.2,3.36
504,manati,0,AL,1531000200,88,41.76,19.67,71.6,3.36
505,chalmette,75,US,1531001700,88,29.94,-89.96,86,8.05
506,honggang,92,CN,1531002422,98,29.51,114.87,74.83,2.48
507,tonstad,0,NO,1531000200,81,58.66,6.71,53.6,11.41
508,shuangyang,68,CN,1531002422,95,25,118.61,76.54,2.48
509,kedougou,56,SN,1531002423,87,12.56,-12.19,78.07,6.85
510,porto novo,0,BR,1531000800,64,-23.68,-45.44,68,2.24
511,cabra,0,ES,1531000800,46,37.47,-4.43,80.6,2.15
512,safita,0,SY,1530997200,83,34.82,36.12,75.2,4.7
513,broome,0,GB,1531000560,87,52.47,1.45,68,4.7
514,kirkland lake,1,CA,1531000800,30,48.15,-80.03,82.4,13.87
515,ornskoldsvik,12,SE,1531000200,55,63.29,18.72,60.8,8.05
516,palauig,92,PH,1531002424,100,15.44,119.9,73.93,4.72
517,hudson bay,0,CA,1531002424,58,52.86,-102.4,78.79,8.52
518,chagda,,,,,,,,
519,buenaventura,80,CO,1531002425,96,3.89,-77.07,73.12,2.93
520,porto velho,20,BR,1531000800,48,-8.75,-63.87,84.2,1.12
521,vila,0,IT,1531000200,73,45.18,8.4,77,4.7
522,hamilton,40,BM,1531000500,78,32.3,-64.78,80.6,9.17
523,ancona,1,US,1531001700,39,41.04,-88.87,80.6,5.82
524,glazunovka,68,RU,1531002426,74,52.5,36.32,62.86,7.74
525,paramonga,12,PE,1531002426,100,-10.68,-77.82,61.96,5.39
526,jucas,92,BR,1531002427,46,-6.53,-39.53,84.1,8.41
527,faya,5,SA,1531000800,60,18.39,42.45,71.6,9.17
528,ozorkow,0,PL,1531000800,55,51.96,19.29,64.4,6.93
529,roma,0,IT,1531000500,53,41.89,12.48,75.2,6.93
530,pisco,90,PE,1531000800,77,-13.71,-76.2,64.4,4.7
531,collie,0,AU,1531002433,90,-33.36,116.15,42.7,11.77
532,nkhotakota,56,MW,1531002433,88,-12.93,34.3,67.63,10.65
533,suchedniow,36,PL,1531002434,53,51.05,20.83,65.38,9.19
534,semme,0,FR,1531000800,49,46.2,1.5,73.4,6.93
535,charagua,90,BO,1531000800,93,-19.79,-63.2,53.6,4.7
536,port hedland,0,AU,1531000800,33,-20.31,118.58,62.6,12.75
537,argayash,0,RU,1530999000,88,55.49,60.88,64.4,4.47
538,kabansk,24,RU,1530999000,76,52.06,106.65,50,2.24
539,bengkalis,,,,,,,,
540,ventersburg,0,ZA,1531002435,77,-28.08,27.14,36.04,6.17
541,abu samrah,0,SY,1531002435,49,35.3,37.18,74.56,9.75
542,mayor pablo lagerenza,0,PY,1531002435,39,-19.93,-60.77,86.71,6.4
543,san jeronimo,0,PE,1531002436,31,-13.65,-73.37,59.08,2.48
544,siloam springs,1,US,1531000680,40,36.19,-94.54,91.4,8.05
545,san quintin,75,PH,1530997200,100,17.54,120.52,75.2,2.71
546,lyman,56,UA,1531002437,43,48.98,37.82,73.57,9.75
547,fare,0,PF,1531002437,100,-16.7,-151.02,79.78,12.21
548,narrabri,12,AU,1531002437,85,-30.33,149.78,38.38,6.62
549,uporovo,8,RU,1531002437,88,56.31,66.27,64.57,1.7
550,whitehorse,75,CA,1531000800,56,60.72,-135.06,68,5.82
551,thinadhoo,92,MV,1531002438,100,0.53,72.93,82.12,19.15
552,jabiru,,,,,,,,
553,charters towers,0,AU,1531002438,70,-20.07,146.27,53.68,11.88
554,lulea,8,SE,1531000200,62,65.58,22.15,59,11.41
555,cambridge,1,GB,1531000560,93,52.2,0.12,68,4.7
556,tura,56,IN,1531002439,93,25.52,90.21,78.7,3.49
557,ayorou,20,NE,1531002439,58,14.73,0.92,84.01,7.4
558,hirara,40,JP,1530999000,100,24.8,125.28,78.8,4.7
559,termini imerese,40,IT,1531000200,78,37.98,13.7,75.2,3.36
560,porto murtinho,8,BR,1531002440,63,-21.7,-57.88,78.88,5.61
561,gazojak,0,TM,1531002440,38,41.19,61.4,79.51,3.38
562,surt,0,LY,1531002172,98,31.21,16.59,74.74,9.98
563,katherine,0,AU,1531000800,54,-14.47,132.26,55.4,6.93
564,belfast,100,GB,1531000200,68,54.6,-5.93,68,3.36
565,rabo de peixe,20,PT,1531000800,77,37.8,-25.58,69.8,3.36
566,touros,36,BR,1531002441,99,-5.2,-35.46,75.01,10.65
567,diamantino,0,BR,1531002441,51,-14.4,-56.44,83.11,3.83
568,pacific grove,1,US,1531000440,52,36.62,-121.92,75.2,8.05
569,langenburg,0,CA,1531002441,63,50.84,-101.7,82.03,19.04
570,vao,56,EE,1531002442,81,59.1,26.19,63.13,4.61
571,scottsburgh,,,,,,,,
572,port macquarie,0,AU,1531000800,84,-31.43,152.91,51.8,9.17
573,fuerte olimpo,0,BR,1531002442,61,-21.04,-57.87,80.14,5.84
574,pimentel,64,BR,1531002445,80,-3.7,-45.5,77.44,3.15
575,opuwo,0,NA,1531002446,58,-18.06,13.84,46.57,3.6
576,simao,92,CN,1531002446,97,22.76,100.79,67.63,1.14
577,meulaboh,68,ID,1531002446,100,4.14,96.13,78.25,4.38
578,souillac,0,FR,1531000800,57,45.6,-0.6,75.2,3.36
579,inta,68,RU,1531002447,68,66.04,60.13,65.83,0.58
580,khonuu,,,,,,,,
581,nara,75,JP,1530999000,100,34.68,135.8,73.4,9.17
582,forbes,92,AU,1531002447,93,-33.38,148.01,42.43,13.78
583,quesnel,75,CA,1531000920,82,52.98,-122.49,60.8,6.93
584,beyneu,32,KZ,1531002448,27,45.32,55.19,91.66,10.54
585,benjamin hill,0,MX,1531002448,41,30.17,-111.1,95.71,6.17
586,ambo,92,ET,1531002448,99,8.98,37.86,53.59,1.14
587,krasnovishersk,76,RU,1531002448,87,60.4,57.08,63.76,2.82
588,oyonnax,0,FR,1531000800,56,46.26,5.66,69.8,3.36
589,aranos,56,NA,1531002449,89,-24.14,19.11,49.27,7.74
590,roura,0,GF,1531000800,100,4.73,-52.33,77,9.19
591,moose factory,1,CA,1531000800,42,51.26,-80.61,82.4,12.75
592,lichuan,32,CN,1531002449,94,30.3,108.94,65.29,2.15
593,keti bandar,48,PK,1531002450,99,24.14,67.45,84.37,20.49
594,mana,75,RS,1531000800,100,43.52,20.24,64.4,2.59
595,seoul,75,KR,1531000800,68,37.57,126.98,68,2.24
596,mayo,75,CA,1531000800,49,63.59,-135.9,69.8,4.7
597,hun,0,BE,1531000200,60,50.34,4.87,68,4.7
598,awbari,0,LY,1531002451,18,26.59,12.77,88.42,8.63
599,kotli loharan,0,PK,1531000800,58,32.59,74.49,86,4.7
600,sao filipe,0,CV,1531002451,96,14.9,-24.5,76.18,7.18
601,ahipara,92,NZ,1531002451,96,-35.17,173.16,58.54,22.28
602,mae sai,88,MM,1531002451,95,20.44,99.89,70.78,1.92
603,ibimirim,80,BR,1531002452,63,-8.54,-37.69,76.18,11.65
604,manggar,24,ID,1531002452,93,-2.88,108.27,79.06,6.4
605,nago,20,IT,1531000200,68,45.88,10.89,77,3.36
606,serebryansk,40,KZ,1531000800,93,49.68,83.3,51.8,2.24
607,severo-yeniseyskiy,0,RU,1531002453,92,60.37,93.04,43.6,2.26
608,turiacu,32,BR,1531002453,47,-5.01,-63,91.93,3.15
609,clarence town,0,AU,1531001040,57,-32.59,151.78,50,27.51
610,manacapuru,8,BR,1531002453,51,-3.3,-60.62,89.77,3.83
611,kilakarai,,,,,,,,
612,sursee,75,CH,1531000800,72,47.17,8.11,66.2,3.6
613,trabzon,75,TR,1531000200,69,41.01,39.72,75.2,4.7
614,ananas,36,HT,1531002454,94,19.25,-71.96,75.91,3.94
615,santo antonio do ica,36,BR,1531002454,92,-3.1,-67.94,79.15,3.38
616,emba,20,CY,1531000200,88,34.81,32.42,78.8,4.7
617,sakakah,,,,,,,,
618,byron bay,0,AU,1531000800,57,-28.65,153.62,51.8,3.36
619,ketou,32,BJ,1531002454,92,7.36,2.6,76.63,6.51
620,mantiquil,40,PH,1530997200,94,9.17,123.05,75.2,4.27
621,salym,20,RU,1531002455,93,60.06,71.48,64.66,6.73
622,esmeraldas,0,BR,1531000800,43,-19.76,-44.31,69.8,10.29
623,skjervoy,12,NO,1531002455,95,70.03,20.97,49.27,4.38
624,padang,32,ID,1531002455,100,-0.92,100.36,81.13,3.94
625,nouadhibou,0,MR,1531000800,83,20.93,-17.03,69.8,4.7
626,puerto del rosario,0,ES,1531000800,88,28.5,-13.86,69.8,14.99
